Entry	Gene Names (primary)	Protein names	Gene Ontology (molecular function)
Q9H422	HIPK3	Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
Q9H477	RBKS	Ribokinase (RK) (EC 2.7.1.15)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]
Q9H479	FN3K	Fructosamine-3-kinase (EC 2.7.1.171) (Protein-psicosamine 3-kinase FN3K) (Protein-ribulosamine 3-kinase FN3K) (EC 2.7.1.172)	ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein-fructosamine 3-kinase activity [GO:0102194]; protein-ribulosamine 3-kinase activity [GO:0102193]
Q9H4A3	WNK1	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	ATP binding [GO:0005524]; molecular condensate scaffold activity [GO:0140693]; phosphatase binding [GO:0019902]; protein kinase activator activity [GO:0030295]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9H4B4	PLK3	Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	ATP binding [GO:0005524]; p53 binding [GO:0002039]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9H5K3	POMK	Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	ATP binding [GO:0005524]; carbohydrate kinase activity [GO:0019200]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; protein kinase activity [GO:0004672]
Q9H8X2	IPPK	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (IPK1 homolog) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)	ATP binding [GO:0005524]; inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity [GO:0035299]; molecular adaptor activity [GO:0060090]
Q9H999	PANK3	Pantothenate kinase 3 (hPanK3) (EC 2.7.1.33) (Pantothenic acid kinase 3)	acetyl-CoA binding [GO:1905502]; ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]; protein homodimerization activity [GO:0042803]; vitamin binding [GO:0019842]
Q9HA47	UCK1	Uridine-cytidine kinase 1 (UCK 1) (EC 2.7.1.48) (Cytidine monophosphokinase 1) (Uridine monophosphokinase 1)	ATP binding [GO:0005524]; cytidine kinase activity [GO:0043771]; uridine kinase activity [GO:0004849]
Q9HAZ1	CLK4	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
Q9HBH9	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2)	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9HBU6	ETNK1	Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82)	ATP binding [GO:0005524]; ethanolamine kinase activity [GO:0004305]
Q9HBY8	SGK2	Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)	ATP binding [GO:0005524]; potassium channel regulator activity [GO:0015459]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; sodium channel regulator activity [GO:0017080]
Q9HC98	NEK6	Serine/threonine-protein kinase Nek6 (EC 2.7.11.34) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)	ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; kinesin binding [GO:0019894]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transcription corepressor binding [GO:0001222]; ubiquitin protein ligase binding [GO:0031625]
Q9HCP0	CSNK1G1	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NPI5	NMRK2	Nicotinamide riboside kinase 2 (NRK 2) (NmR-K 2) (EC 2.7.1.22) (Integrin beta-1-binding protein 3) (Muscle integrin-binding protein) (MIBP) (Nicotinic acid riboside kinase 2) (EC 2.7.1.173) (Ribosylnicotinamide kinase 2) (RNK 2) (Ribosylnicotinic acid kinase 2)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nicotinate riboside kinase activity [GO:0034317]; ribosylnicotinamide kinase activity [GO:0050262]; ribosylnicotinate kinase activity [GO:0061769]
Q9NQU5	PAK6	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NR20	DYRK4	Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
Q9NRA0	SPHK2	Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91)	ATP binding [GO:0005524]; D-erythro-sphingosine kinase activity [GO:0017050]; histone binding [GO:0042393]; lipid kinase activity [GO:0001727]; small GTPase binding [GO:0031267]; sphingosine kinase activity [GO:0008481]; sphingosine-1-phosphate receptor activity [GO:0038036]
Q9NRH2	SNRK	SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NRM7	LATS2	Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NRP7	STK36	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transcription corepressor binding [GO:0001222]
Q9NSY1	BMP2K	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	AP-2 adaptor complex binding [GO:0035612]; ATP binding [GO:0005524]; phosphatase regulator activity [GO:0019208]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NVF9	ETNK2	Ethanolamine kinase 2 (EKI 2) (EC 2.7.1.82) (Ethanolamine kinase-like protein)	ATP binding [GO:0005524]; ethanolamine kinase activity [GO:0004305]
Q9NWW6	NMRK1	Nicotinamide riboside kinase 1 (NRK 1) (NmR-K 1) (EC 2.7.1.22) (Nicotinic acid riboside kinase 1) (EC 2.7.1.173) (Ribosylnicotinamide kinase 1) (RNK 1) (Ribosylnicotinic acid kinase 1)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nicotinate riboside kinase activity [GO:0034317]; ribosylnicotinamide kinase activity [GO:0050262]; ribosylnicotinate kinase activity [GO:0061769]
Q9NWZ3	IRAK4	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	ATP binding [GO:0005524]; interleukin-1 receptor binding [GO:0005149]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NWZ5	UCKL1	Uridine-cytidine kinase-like 1 (EC 2.7.1.48)	ATP binding [GO:0005524]; cytidine kinase activity [GO:0043771]; uridine kinase activity [GO:0004849]
Q9NYA1	SPHK1	Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91) (Acetyltransferase SPHK1) (EC 2.3.1.-)	acetyltransferase activity [GO:0016407]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; D-erythro-sphingosine kinase activity [GO:0017050]; DNA binding [GO:0003677]; lipid binding [GO:0008289]; lipid kinase activity [GO:0001727]; magnesium ion binding [GO:0000287]; protein phosphatase 2A binding [GO:0051721]; sphingosine kinase activity [GO:0008481]; sphingosine-1-phosphate receptor activity [GO:0038036]
Q9NYL2	MAP3K20	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase 7) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	ATP binding [GO:0005524]; JUN kinase kinase kinase activity [GO:0004706]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activator activity [GO:0030295]; protein kinase regulator activity [GO:0019887]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; stalled ribosome sensor activity [GO:0170011]
Q9NYV4	CDK12	Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
Q9NYY3	PLK2	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	ATP binding [GO:0005524]; ATP-dependent protein binding [GO:0043008]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9NZJ5	EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK) (Protein tyrosine kinase EIF2AK3) (EC 2.7.10.2)	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; misfolded protein binding [GO:0051787]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; translation regulator activity [GO:0045182]
Q9P0L2	MARK1	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylserine binding [GO:0001786]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
Q9P1W9	PIM2	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9P286	PAK5	Serine/threonine-protein kinase PAK 5 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9P289	STK26	Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9P2K8	EIF2AK4	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	ATP binding [GO:0005524]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tRNA binding [GO:0000049]
Q9UBE8	NLK	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; magnesium ion binding [GO:0000287]; MAP kinase activity [GO:0004707]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; SH2 domain binding [GO:0042169]; ubiquitin protein ligase binding [GO:0031625]
Q9UBF8	PI4KB	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)	1-phosphatidylinositol 4-kinase activity [GO:0004430]; 14-3-3 protein binding [GO:0071889]; ATP binding [GO:0005524]
Q9UBS0	RPS6KB2	Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)	ATP binding [GO:0005524]; peptide binding [GO:0042277]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ribosomal protein S6 kinase activity [GO:0004711]
Q9UEE5	STK17A	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q9UEW8	STK39	STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)	ATP binding [GO:0005524]; ion channel regulator activity [GO:0099106]; kinase activity [GO:0016301]; potassium channel inhibitor activity [GO:0019870]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transmembrane transporter binding [GO:0044325]; transporter activator activity [GO:0141109]
Q9UF33	EPHA6	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	ATP binding [GO:0005524]; transmembrane-ephrin receptor activity [GO:0005005]
Q9UHD2	TBK1	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; phosphoprotein binding [GO:0051219]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]
Q9UHH9	IP6K2	Inositol hexakisphosphate kinase 2 (InsP6 kinase 2) (InsP6K2) (EC 2.7.4.-) (P(i)-uptake stimulator) (PiUS)	ATP binding [GO:0005524]; diphosphoinositol pentakisphosphate kinase activity [GO:0000829]; diphosphoinositol tetrakisphosphate kinase activity [GO:0052839]; flavonoid binding [GO:0097243]; inositol 5-diphosphate pentakisphosphate 5-kinase activity [GO:0052836]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]
Q9UHJ6	SHPK	Sedoheptulokinase (SHK) (EC 2.7.1.14) (Carbohydrate kinase-like protein)	ATP binding [GO:0005524]; sedoheptulokinase activity [GO:0050277]
Q9UIG0	BAZ1B	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)	ATP binding [GO:0005524]; histone binding [GO:0042393]; histone H2AXY142 kinase activity [GO:0140801]; histone kinase activity [GO:0035173]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; zinc ion binding [GO:0008270]
Q9UIJ7	AK3	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (Adenylate kinase 3 alpha-like 1) (Adenylate kinase isozyme 3)	ATP binding [GO:0005524]; GTP binding [GO:0005525]; ligase activity [GO:0016874]; nucleoside triphosphate adenylate kinase activity [GO:0046899]
